epoch,train_loss,val_loss,val_acc,lr,epoch_time_s
1,2.0527311498962577,1.5512282875061034,0.4114,0.09997532801828658,38.83768129348755
2,1.4515125860176195,1.3068387090682982,0.5298,0.09990133642141358,39.783188819885254
3,1.1731317912751114,1.1682745071411134,0.5964,0.099778098230154,38.411723375320435
4,0.9671710356008633,0.887067281627655,0.696,0.0996057350657239,39.07783532142639
5,0.7989147784363511,0.7725870456695557,0.7266,0.09938441702975688,38.886948108673096
6,0.686293994684165,0.6503882153987884,0.7712,0.09911436253643444,38.839245319366455
7,0.6139481926066244,0.6826147556304931,0.7592,0.09879583809693737,39.00194978713989
8,0.559386091099845,0.5652019161701203,0.8094,0.09842915805643156,38.94399166107178
9,0.5357409287721683,0.8427271881103515,0.7242,0.09801468428384716,38.91753172874451
10,0.5014493191174293,1.1966409818649293,0.672,0.09755282581475769,38.796266317367554
11,0.4870092217144463,0.6180302276611328,0.7984,0.09704403844771128,38.76173257827759
12,0.45979134407308364,0.5519235304832458,0.8112,0.09648882429441258,38.80663752555847
13,0.44892396580459726,0.4865843427181244,0.8364,0.09588773128419906,38.86355495452881
14,0.4349130088956947,0.6263485984802246,0.7936,0.09524135262330098,38.8710401058197
15,0.42313878123576826,0.9192867171287536,0.7068,0.0945503262094184,38.951716899871826
16,0.4137260021901878,0.7092127074241639,0.772,0.09381533400219319,38.804983615875244
17,0.4048441020596741,0.6131287705421448,0.8076,0.0930371013501972,38.69179058074951
18,0.39105833625351943,0.45713875489234923,0.8442,0.09221639627510078,38.665398836135864
19,0.3846646087546634,0.4344898475170135,0.8486,0.09135402871372812,38.77164340019226
20,0.3788448143803496,0.46495989646911623,0.8522,0.09045084971874741,38.9012336730957
21,0.3720846535303654,0.4351185225009918,0.851,0.08950775061878455,38.87369513511658
22,0.36347941256146826,0.454916117811203,0.85,0.0885256621387895,38.84440612792969
23,0.3589199550895609,0.44465410594940186,0.8562,0.08750555348152302,38.89747071266174
24,0.3440327636281989,0.665839200592041,0.7806,0.08644843137107061,38.77388668060303
