true_class,predicted_class,count,share_of_true_class
elephant,person,690,0.9324324324324325
dog,person,680,0.8808290155440415
horse,person,551,0.6752450980392157
giraffe,person,455,0.6042496679946879
guitar,person,192,0.3157894736842105
elephant,dog,40,0.05405405405405406
dog,horse,18,0.023316062176165803
giraffe,horse,14,0.01859229747675963
horse,dog,14,0.01715686274509804
giraffe,dog,10,0.013280212483399735
guitar,giraffe,7,0.011513157894736841
horse,giraffe,7,0.00857843137254902
