class,support,correct,accuracy
dog,772,69,0.08937823834196891
elephant,740,6,0.008108108108108109
giraffe,753,273,0.36254980079681276
guitar,608,408,0.6710526315789473
horse,816,244,0.29901960784313725
house,80,80,1.0
person,160,160,1.0
