true_class,predicted_class,count,share_of_true_class
giraffe,horse,149,0.19787516600265603
dog,horse,134,0.17357512953367876
giraffe,dog,132,0.1752988047808765
dog,elephant,129,0.16709844559585493
horse,dog,74,0.09068627450980392
horse,elephant,71,0.08700980392156862
giraffe,person,60,0.0796812749003984
elephant,dog,56,0.07567567567567568
giraffe,elephant,45,0.05976095617529881
dog,person,34,0.04404145077720207
guitar,person,27,0.044407894736842105
horse,person,24,0.029411764705882353
