class,support,correct,accuracy
dog,772,460,0.5958549222797928
elephant,740,664,0.8972972972972973
giraffe,753,362,0.4807436918990704
guitar,608,558,0.9177631578947368
horse,816,632,0.7745098039215687
house,80,72,0.9
person,160,150,0.9375
