true_class,predicted_class,count,share_of_true_class
horse,dog,295,0.36151960784313725
giraffe,dog,293,0.3891102257636122
dog,elephant,208,0.2694300518134715
horse,elephant,105,0.12867647058823528
giraffe,horse,82,0.10889774236387782
giraffe,guitar,80,0.10624169986719788
giraffe,elephant,70,0.09296148738379814
elephant,dog,66,0.0891891891891892
horse,house,44,0.05392156862745098
person,elephant,36,0.225
dog,horse,29,0.03756476683937824
horse,guitar,21,0.025735294117647058
