class,support,correct,accuracy
dog,772,495,0.6411917098445595
elephant,740,666,0.9
giraffe,753,213,0.28286852589641437
guitar,608,586,0.9638157894736842
horse,816,341,0.4178921568627451
house,80,77,0.9625
person,160,105,0.65625
