epoch,train_loss,train_cls_loss,train_mmd,train_dom_loss,train_dom_acc,train_alpha,val_mean_acc,val_mean_f1,epoch_time_s,val_photo_acc,val_photo_f1,val_art_painting_acc,val_art_painting_f1,val_cartoon_acc,val_cartoon_f1
1,1.1324075902279336,0.49960096693824774,nan,0.6328066284976789,0.806640429283256,0.08255312387905056,0.8979656067418516,0.8927736091189981,40.74262619018555,0.9317507418397626,0.9210642909762576,0.8661800486618005,0.8571496545417159,0.8959660297239915,0.9001068818390207
2,0.9369639410308345,0.22359949902663775,nan,0.7133644433756966,0.42339101924899203,0.24403673320663702,0.90618386736553,0.8991904829550753,36.04124712944031,0.9436201780415431,0.9330498003877705,0.8832116788321168,0.8713133757776613,0.89171974522293,0.8932082726997936
3,0.8802313015828678,0.17982506838659593,nan,0.7004062337661857,0.4307726411825389,0.39305781214699576,0.9038540932657991,0.9046707238749369,39.504910945892334,0.9436201780415431,0.9321133339367308,0.878345498783455,0.8840139349322893,0.8895966029723992,0.8978849027557906
4,0.8123206801675446,0.1218365500356761,nan,0.6904841311535432,0.513051291010273,0.523974554088427,0.920727515178282,0.917189949929302,36.86678171157837,0.9584569732937686,0.9508768891847097,0.8759124087591241,0.8701187143685611,0.9278131634819533,0.9305742462346352
5,0.7925357317450035,0.10391997124806315,nan,0.688615760103387,0.5313353777969655,0.6340992316961518,0.9158898773034488,0.9123221018546489,38.15341353416443,0.9554896142433235,0.9491362286360877,0.8686131386861314,0.8616444601274665,0.9235668789808917,0.9261856168003925
6,0.7963024561677999,0.10268377635885141,nan,0.6936186792245552,0.5083089095739582,0.7233948593941771,0.933381002749108,0.9330143302197085,37.32100224494934,0.9614243323442137,0.9579059088956494,0.9172749391727494,0.9168061476192498,0.921443736730361,0.9243309341442261
7,0.7675363608260652,0.06636724920870403,nan,0.7011691124285039,0.45979133337291317,0.7936666183588882,0.9357616530437568,0.9356808380905243,37.419371366500854,0.9792284866468842,0.9748168498168498,0.9002433090024331,0.8995394625272366,0.9278131634819533,0.9326862019274869
8,0.7710503713408513,0.07573432887864383,nan,0.6953160409903645,0.4878353955437295,0.84767441725837,0.9251850761465189,0.9239544069426721,38.047067642211914,0.9703264094955489,0.9645179738094921,0.8710462287104623,0.8687040223846827,0.9341825902335457,0.9386412246338415
9,0.7534254460192439,0.07152479882244905,nan,0.6819006468526166,0.593703079282941,0.8884314867805341,0.9124176804695056,0.9115137249481768,37.62487769126892,0.973293768545994,0.9682590851331275,0.8637469586374696,0.8631408666117943,0.9002123142250531,0.9031412230996089
10,0.789281358469778,0.0797941502768214,nan,0.7094872083830003,0.4282500206386272,0.9187665987388312,0.9063287702490973,0.903842421593911,37.731412410736084,0.9376854599406528,0.9276074736322997,0.8832116788321168,0.8810905730925657,0.8980891719745223,0.9028292180568679
11,0.7510189565260019,0.05226368504509761,nan,0.6987552711026586,0.4840280455884649,0.9411130122552437,0.8964300623159044,0.8943027679023299,37.53427457809448,0.9614243323442137,0.9536558796740369,0.8637469586374696,0.8625561050250626,0.8641188959660298,0.8666963190078899
12,0.7370833941360018,0.05459198785484745,nan,0.6824914074655789,0.5748213692684079,0.9574496554152357,0.8869875079857156,0.8859215590271959,37.157440423965454,0.9495548961424333,0.93951193945949,0.8345498783454988,0.837435655666316,0.8768577494692145,0.8808170819557821
