epoch,train_loss,train_cls_loss,train_mmd,val_mean_acc,val_mean_f1,val_worst_f1,epoch_time_s,val_photo_acc,val_photo_f1,val_art_painting_acc,val_art_painting_f1,val_cartoon_acc,val_cartoon_f1
1,0.5918839353308156,0.48853410954647397,nan,0.9038671380509378,0.9035329250122442,0.8721031454182274,41.13542580604553,0.9406528189910979,0.9308209074310615,0.8686131386861314,0.8721031454182274,0.9023354564755839,0.9076747221874436
2,0.2822005845773131,0.21010463066232293,nan,0.9007371867138113,0.8947170894538754,0.881724124853036,35.335354804992676,0.9287833827893175,0.9171200626751936,0.8880778588807786,0.881724124853036,0.8853503184713376,0.8853070808333967
3,0.2117858264521135,0.1474755627696231,nan,0.9259892695222298,0.9271471115799647,0.9130552140744881,36.24511766433716,0.9495548961424333,0.9466828620690991,0.9197080291970803,0.9217032585963069,0.9087048832271762,0.9130552140744881
4,0.15889924423959087,0.10077082144677992,nan,0.9336469109603894,0.933369960503169,0.9008144943880626,37.634596824645996,0.9643916913946587,0.9576041018588565,0.9002433090024331,0.9008144943880626,0.9363057324840764,0.9416912852625883
5,0.14322967901802738,0.09068874018069875,nan,0.9391174891679613,0.9378842768899531,0.9106157981360922,36.7788188457489,0.9643916913946587,0.9568053491377073,0.9124087591240876,0.9106157981360922,0.940552016985138,0.9462316833960597
6,0.12833903352058126,0.0784575379817325,nan,0.9386781358992838,0.9381380667042557,0.9234808782128593,36.810261487960815,0.9703264094955489,0.9639354647230166,0.9221411192214112,0.9234808782128593,0.9235668789808917,0.926997857176891
7,0.08727238930249819,0.04899106809996249,nan,0.9492060286160279,0.9457536655704271,0.9305382671676672,36.43564772605896,0.9703264094955489,0.9655102999389669,0.9367396593673966,0.9305382671676672,0.940552016985138,0.9412124296046472
8,0.09927609374698029,0.05472822133677581,nan,0.9417001266938351,0.9404399189546013,0.9101744713687205,36.78671979904175,0.9703264094955489,0.9647031683720029,0.9099756690997567,0.9101744713687205,0.9447983014861996,0.9464421171230807
9,0.08058634621035586,0.041627565656258116,nan,0.9277369794841399,0.9287814588779288,0.9011011334799413,36.85618352890015,0.9703264094955489,0.9653531388467728,0.8978102189781022,0.9011011334799413,0.9150743099787686,0.9198901043070723
10,0.06947573050578583,0.03502408281961671,nan,0.9453289682508478,0.9450504564634293,0.9214194595690633,36.88094925880432,0.973293768545994,0.9680854066568353,0.9221411192214112,0.9214194595690633,0.940552016985138,0.945646503164389
11,0.06483792267384735,0.030331161740280582,nan,0.9350337969535812,0.932482140980811,0.8905040620731285,36.800485134124756,0.9673590504451038,0.9603506151047084,0.8929440389294404,0.8905040620731285,0.9447983014861996,0.9465917457645959
12,0.07887222907078494,0.040614733427652365,nan,0.9321281668687688,0.9306086564556767,0.8961801279078229,36.612119913101196,0.9643916913946587,0.957323516770572,0.8978102189781022,0.8961801279078229,0.9341825902335457,0.9383223246886351
