class,support,correct,accuracy
dog,772,302,0.3911917098445596
elephant,740,704,0.9513513513513514
giraffe,753,420,0.5577689243027888
guitar,608,449,0.7384868421052632
horse,816,581,0.7120098039215687
house,80,73,0.9125
person,160,122,0.7625
