true_class,predicted_class,count,share_of_true_class
dog,elephant,276,0.35751295336787564
dog,horse,158,0.20466321243523317
horse,elephant,140,0.1715686274509804
giraffe,horse,126,0.16733067729083664
giraffe,elephant,112,0.14873837981407703
guitar,elephant,112,0.18421052631578946
horse,dog,67,0.0821078431372549
giraffe,dog,59,0.07835325365205843
guitar,giraffe,41,0.06743421052631579
person,elephant,36,0.225
giraffe,person,32,0.04249667994687915
dog,person,30,0.038860103626943004
