class,support,correct,accuracy
dog,772,274,0.3549222797927461
elephant,740,668,0.9027027027027027
giraffe,753,369,0.4900398406374502
guitar,608,497,0.8174342105263158
horse,816,684,0.8382352941176471
house,80,41,0.5125
person,160,118,0.7375
