epoch,train_loss,train_cls_loss,train_mmd,train_dom_loss,train_dom_acc,train_alpha,val_mean_acc,val_mean_f1,epoch_time_s,val_photo_acc,val_photo_f1,val_art_painting_acc,val_art_painting_f1,val_cartoon_acc,val_cartoon_f1
1,0.49488067067232894,0.49488067067232894,nan,nan,nan,nan,0.9031178370084602,0.9009292692518742,24.69327688217163,0.9465875370919882,0.9373243741492676,0.8710462287104623,0.8672950717522216,0.89171974522293,0.8981683618541335
2,0.2280923462940834,0.2280923462940834,nan,nan,nan,nan,0.8769845950591351,0.8694904728789101,19.55782914161682,0.9347181008902077,0.9230210127638142,0.8321167883211679,0.8226269352173944,0.8641188959660298,0.8628234706555219
3,0.1719161278952784,0.1719161278952784,nan,nan,nan,nan,0.903353011031489,0.9002752187456334,19.838098764419556,0.9436201780415431,0.9343614180265225,0.8832116788321168,0.8800195630777946,0.8832271762208068,0.8864446751325834
4,0.12007832364584621,0.12007832364584621,nan,nan,nan,nan,0.9163363277936529,0.9154403488397157,20.000248670578003,0.9643916913946587,0.9581787985193649,0.8759124087591241,0.8762585174445972,0.9087048832271762,0.9118837305551853
5,0.10565350389146287,0.10565350389146287,nan,nan,nan,nan,0.9321328114867442,0.9310524740172003,20.454366207122803,0.9762611275964391,0.9710046150848498,0.8880778588807786,0.8872197508579267,0.9320594479830149,0.9349330561088244
6,0.08553542465837996,0.08553542465837996,nan,nan,nan,nan,0.9348842494520385,0.9325530815385346,20.57100200653076,0.9614243323442137,0.9540060730075259,0.902676399026764,0.9031425691019936,0.940552016985138,0.9405106025060841
7,0.07956103053938977,0.07956103053938977,nan,nan,nan,nan,0.9169776682935553,0.9123922712865481,20.23655891418457,0.9465875370919882,0.9343856938898394,0.8807785888077859,0.8764234689872323,0.9235668789808917,0.9263676509825728
8,0.08306231069542463,0.08306231069542463,nan,nan,nan,nan,0.9382077878532264,0.9374699639147389,20.457209587097168,0.9762611275964391,0.9705946011730938,0.8978102189781022,0.8969567817206129,0.940552016985138,0.9448585088505103
9,0.08708131870799883,0.08708131870799883,nan,nan,nan,nan,0.9306665071248057,0.9291551302374673,20.437028169631958,0.9584569732937686,0.9509161290825336,0.9099756690997567,0.9119606702895645,0.9235668789808917,0.9245885913403039
10,0.04525936257584421,0.04525936257584421,nan,nan,nan,nan,0.9341303037915857,0.9304735599003671,20.851165294647217,0.9554896142433235,0.9454074111216969,0.9148418491484185,0.9153009088366811,0.9320594479830149,0.930712359742723
11,0.08005454499236556,0.08005454499236556,nan,nan,nan,nan,0.9062763305194151,0.9009619580604071,20.333086729049683,0.9554896142433235,0.9469666306755539,0.8588807785888077,0.8529944661676767,0.9044585987261147,0.9029247773379909
12,0.05724727596564332,0.05724727596564332,nan,nan,nan,nan,0.9332907316096466,0.9293658330015769,20.48255681991577,0.9584569732937686,0.9507473188832074,0.9051094890510949,0.9036425527301672,0.9363057324840764,0.9337076273913562
13,0.04733868329897257,0.04733868329897257,nan,nan,nan,nan,0.9181318328672697,0.9190953344221539,20.425211668014526,0.9554896142433235,0.947702597457676,0.8880778588807786,0.8909726036534871,0.910828025477707,0.9186108021552981
