epoch,train_loss,val_loss,val_acc,lr,epoch_time_s
1,2.3948097650142137,1.9504254104614258,0.2444,0.09997532801828658,36.51524257659912
2,1.8711408930286724,1.5888377376556397,0.4112,0.09990133642141358,36.02059030532837
3,1.6118608261445309,1.564017384338379,0.4476,0.099778098230154,36.723599672317505
4,1.3274093536909488,1.2260958852767945,0.5616,0.0996057350657239,37.225472927093506
5,1.132470278998046,0.9654892561912537,0.651,0.09938441702975688,37.74251389503479
6,0.9967886146656808,0.8340070190429687,0.7022,0.09911436253643444,38.14308786392212
7,0.8808271516422261,1.0040397945404054,0.6698,0.09879583809693737,38.58390498161316
8,0.7935921179602968,0.6500145093917846,0.7778,0.09842915805643156,39.06691312789917
9,0.7447627946691975,0.7135656803131104,0.753,0.09801468428384716,39.04857301712036
10,0.7032041072505831,0.718049996805191,0.7554,0.09755282581475769,38.90868043899536
11,0.6892472386699796,0.7652145149230957,0.7416,0.09704403844771128,38.99540972709656
12,0.6463128117754249,0.7525135932922363,0.7504,0.09648882429441258,39.114259243011475
13,0.6440913599101227,0.6882544189929962,0.7806,0.09588773128419906,39.22313833236694
14,0.6184591333411018,0.7499266119003296,0.7404,0.09524135262330098,39.05292892456055
15,0.6102735727940529,0.5369556787967682,0.8128,0.0945503262094184,38.99346876144409
16,0.5807702641541462,0.9566115856170654,0.7054,0.09381533400219319,39.07664132118225
17,0.5747361451472313,0.5288882890224457,0.8254,0.0930371013501972,39.09897184371948
18,0.5673863250136035,0.6751235557556152,0.7816,0.09221639627510078,39.018203020095825
19,0.5528329619315275,0.5744674960136413,0.8114,0.09135402871372812,39.02494931221008
20,0.5414048622646223,0.7140943183898926,0.7712,0.09045084971874741,39.05331087112427
21,0.5366820612354496,0.5748372978210449,0.8068,0.08950775061878455,39.00667691230774
22,0.5194679335651234,0.6942856061935425,0.7838,0.0885256621387895,39.13697338104248
23,0.5134699227463486,0.4816686351776123,0.8318,0.08750555348152302,39.200592041015625
24,0.5069048021763478,0.568703130531311,0.8224,0.08644843137107061,38.99107837677002
25,0.501053566351915,0.5695021295547485,0.8204,0.0853553390593274,39.0445671081543
26,0.49682561955560645,0.4611492994785309,0.8432,0.08422735529643446,39.0903582572937
27,0.48555843154249706,0.49839992203712463,0.8304,0.08306559326618262,39.14971947669983
28,0.4840996430979835,0.5161728166580201,0.8274,0.08187119948743452,39.11271905899048
29,0.47700617659805167,0.5003399793624878,0.8326,0.08064535268264886,39.05779314041138
30,0.46994942910650855,0.4527337523460388,0.8466,0.0793892626146237,39.0431604385376
31,0.46204611115645816,0.5538605019569397,0.8208,0.07810416889260657,39.0133912563324
32,0.45538870527533726,0.4529515688419342,0.8516,0.07679133974894986,39.0170693397522
33,0.45174409317494796,0.5119081789016724,0.831,0.0754520707875186,39.124184370040894
34,0.4432884394443273,0.4148104866027832,0.8612,0.0740876837050858,39.01704478263855
35,0.43287231940829174,0.5613726723194122,0.8256,0.07269952498697738,38.87697219848633
36,0.4328968497762653,0.5131132635116578,0.8286,0.07128896457825366,39.006147384643555
37,0.4275113358202144,0.4410521476745605,0.8548,0.06985739453173906,39.12389421463013
38,0.41907817358814414,0.48299621081352234,0.8406,0.06840622763423394,39.017884254455566
39,0.4153725250154479,0.5061250715255737,0.8246,0.06693689601226462,39.06950879096985
40,0.4153892162263903,0.41589338998794556,0.86,0.06545084971874741,39.079132318496704
41,0.4005375962990981,0.4844890811920166,0.8426,0.06394955530196152,39.04850769042969
42,0.4018152465677669,0.4836635425567627,0.8422,0.062434494358242776,39.095346212387085
43,0.39108476862099095,0.4454912537097931,0.8512,0.06090716206982718,39.07231020927429
44,0.38954435276170063,0.39006834874153135,0.864,0.05936906572928628,39.04091501235962
45,0.37515062505533214,0.39770181984901426,0.8738,0.05782172325201159,39.01982140541077
46,0.37081175155279644,0.4307003070831299,0.8604,0.056266661678215264,39.10936737060547
47,0.36299949196668774,0.33745244739055635,0.884,0.05470541566592575,39.11438703536987
48,0.3598872313642094,0.3283118508577347,0.8882,0.053139525976465714,38.85486388206482
49,0.35439681442205045,0.3479452925205231,0.8826,0.05157053795390645,38.841192960739136
50,0.3465645211799192,0.3623501684188843,0.8808,0.05000000000000004,38.931647539138794
51,0.345342499578101,0.32779454250335693,0.8866,0.04842946204609362,39.01053261756897
52,0.3332325112700802,0.36265598540306093,0.8758,0.04686047402353437,38.996586322784424
53,0.32160706300171693,0.3433461901664734,0.8826,0.045294584334074316,39.013850688934326
54,0.32218606409184275,0.3188691174030304,0.8962,0.043733338321784825,39.08889150619507
55,0.3085097161538241,0.3435647369861603,0.8888,0.042178276747988484,38.91030716896057
56,0.30430520107263853,0.383478617477417,0.8752,0.0406309342707138,38.802549839019775
57,0.295729238593001,0.30339305787086485,0.8976,0.039092837930172916,38.91571235656738
58,0.2936262986131883,0.4084426833629608,0.8664,0.037565505641757285,39.019678354263306
59,0.28173089880719143,0.28715800189971924,0.9036,0.03605044469803857,38.80472731590271
60,0.28002093420324164,0.3032879506587982,0.8994,0.034549150281252675,38.85144639015198
61,0.26958154044259985,0.30715698363780974,0.9022,0.03306310398773546,38.94395685195923
62,0.26303253707043467,0.29950295977592467,0.9046,0.031593772365766146,39.046629428863525
63,0.2521073437187067,0.32576345121860506,0.892,0.030142605468260992,38.78870987892151
64,0.2423119237619927,0.2660230742454529,0.9092,0.028711035421746394,38.76423621177673
65,0.23766309175735864,0.2782432473659515,0.9122,0.027300475013022688,38.83047795295715
66,0.22908212401588418,0.2889672746181488,0.9002,0.025912316294914254,38.95590257644653
67,0.22058363137846318,0.28117409586906433,0.9092,0.02454792921248146,39.08349871635437
68,0.21818743987895145,0.2871706671237946,0.91,0.02320866025105018,38.8487548828125
69,0.20052739330421485,0.2707056855201721,0.9092,0.021895831107393487,38.76903247833252
70,0.19209585460884618,0.2649386131763458,0.9138,0.02061073738537637,38.872570514678955
71,0.19110974342564913,0.2882682579994202,0.911,0.01935464731735119,39.05877900123596
72,0.17604184897876532,0.24618975672721863,0.9196,0.018128800512565532,38.87746787071228
73,0.17225282645633078,0.24624328277111054,0.9224,0.016934406733817433,38.826326847076416
74,0.16277058453344212,0.23624133579730988,0.9256,0.01577264470356558,38.95237469673157
75,0.14998588473284008,0.22652395694255828,0.9284,0.014644660940672643,39.07922339439392
76,0.1472283363809273,0.2129207023382187,0.9332,0.013551568628929448,38.967554569244385
77,0.13747104840018812,0.22176673982143402,0.9292,0.012494446518477033,38.96708536148071
78,0.12687949038129248,0.2016699118733406,0.938,0.011474337861210555,39.05601978302002
79,0.12261616861039078,0.21755310645103454,0.9352,0.01049224938121549,38.84718942642212
80,0.10796026112856688,0.19905255963802337,0.939,0.009549150281252642,38.76296257972717
81,0.1052664878414652,0.217192458486557,0.9332,0.008645971286271922,38.80657649040222
82,0.0956614817415717,0.19016939098834992,0.9406,0.007783603724899264,39.066506147384644
83,0.0888645022953635,0.1973764711380005,0.9372,0.006962898649802819,38.89764189720154
84,0.08081086770103359,0.184787620139122,0.947,0.0061846659978068265,38.81035852432251
85,0.07499818477057918,0.179401371383667,0.9452,0.005449673790581615,38.876930713653564
86,0.07183369820104366,0.18163154247999191,0.947,0.004758647376699036,39.01361966133118
87,0.05964738712712401,0.17955992712974547,0.9502,0.004112268715800957,38.904016733169556
88,0.054896809338483205,0.17894500057697296,0.9458,0.003511175705587435,38.80471110343933
89,0.052739145335054124,0.17265494062900544,0.9488,0.0029559615522887295,38.79196286201477
90,0.049242115576892155,0.16143937251567841,0.9484,0.0024471741852423253,38.87271738052368
91,0.04595550388347177,0.17011496007442475,0.9488,0.0019853157161528537,39.03042149543762
92,0.044560873656775114,0.16223952139616013,0.9514,0.0015708419435684529,39.02914905548096
93,0.03954471300815118,0.16457090537548066,0.9534,0.0012041619030626347,38.93983340263367
94,0.040454482820224645,0.16670831995010377,0.9512,0.0008856374635655646,39.001678228378296
95,0.03735047448134617,0.16046202054023742,0.9536,0.0006155829702431174,39.05134129524231
96,0.03613312709930637,0.16097831237316132,0.9546,0.00039426493427611206,39.033612966537476
