true_class,predicted_class,count,share_of_true_class
dog,person,140,0.18134715025906736
horse,dog,112,0.13725490196078433
person,house,90,0.5625
horse,house,83,0.1017156862745098
elephant,house,79,0.10675675675675676
giraffe,dog,75,0.099601593625498
elephant,dog,70,0.0945945945945946
dog,house,64,0.08290155440414508
elephant,person,58,0.07837837837837838
giraffe,house,53,0.0703851261620186
guitar,house,49,0.0805921052631579
guitar,person,48,0.07894736842105263
