class,support,correct,accuracy
dog,772,496,0.6424870466321243
elephant,740,585,0.7905405405405406
giraffe,753,631,0.8379814077025233
guitar,608,528,0.868421052631579
horse,816,574,0.7034313725490197
house,80,80,1.0
person,160,152,0.95
