epoch,train_loss,train_cls_loss,train_mmd,train_dom_loss,train_dom_acc,train_alpha,val_mean_acc,val_mean_f1,epoch_time_s,val_photo_acc,val_photo_f1,val_art_painting_acc,val_art_painting_f1,val_cartoon_acc,val_cartoon_f1
1,0.6714479503643453,0.5151944039250488,0.15625354721771545,nan,nan,nan,0.844402507989471,0.8276385177698172,41.97329902648926,0.9080118694362018,0.8800540647882761,0.8077858880778589,0.7970864151577921,0.8174097664543525,0.8057750733633833
2,0.3929680424246622,0.262924833663401,0.13004320711638798,nan,nan,nan,0.8582946369975829,0.8460576823081274,36.00986194610596,0.8783382789317508,0.8527716733343159,0.8345498783454988,0.8251892079717261,0.861995753715499,0.86021216561834
3,0.32947228485672037,0.20218259050274517,0.12728969434007484,nan,nan,nan,0.9121185854664201,0.912943755362262,36.558321475982666,0.9614243323442137,0.955117187753961,0.8832116788321168,0.8819317010538646,0.89171974522293,0.9017823772789605
4,0.31323957965889976,0.18667305871353146,0.12656652097085222,nan,nan,nan,0.8520068206291612,0.8567431382597341,37.308704137802124,0.9020771513353115,0.8843746290258228,0.7834549878345499,0.7995542542705032,0.8704883227176221,0.8863005314828764
5,0.2739913449136179,0.148131724379827,0.12585961966965328,nan,nan,nan,0.9075468558028684,0.9045846763968189,37.50474524497986,0.9614243323442137,0.9539394647077598,0.8588807785888077,0.8556463002327666,0.9023354564755839,0.9041682642499308
6,0.258194160031442,0.13185751486676212,0.12633664542762793,nan,nan,nan,0.9341634905833897,0.9319564174770254,37.551822662353516,0.9643916913946587,0.9575174765125253,0.9124087591240876,0.9126582968027732,0.9256900212314225,0.9256934791157775
7,0.25481236637083454,0.12496173714370981,0.12985062955030754,nan,nan,nan,0.9110215052403632,0.9087229482070026,37.41793417930603,0.9465875370919882,0.9404914103926808,0.8905109489051095,0.88288405218476,0.8959660297239915,0.9027933820435671
8,0.23926226134917036,0.11790859339693885,0.12135366687727211,nan,nan,nan,0.892862060655737,0.8858423994225036,37.34008574485779,0.9258160237388724,0.9102041429556469,0.8759124087591241,0.8735878932578618,0.8768577494692145,0.873735162054002
9,0.2726973271859226,0.1446719322688368,0.1280253935809159,nan,nan,nan,0.8487983399920753,0.8451717339567771,37.63466763496399,0.913946587537092,0.8889314212148877,0.7980535279805353,0.80350204260442,0.8343949044585988,0.8430817380510234
10,0.23079181927724265,0.10378246970558122,0.1270093490828329,nan,nan,nan,0.855156913972953,0.8494552015424279,37.620595932006836,0.9258160237388724,0.9134871897304667,0.7712895377128953,0.7718818147661584,0.8683651804670913,0.862996600130659
11,0.24260927992525386,0.11106134117297152,0.13154793853190408,nan,nan,nan,0.9258372694171358,0.9196083674016157,37.39912819862366,0.9406528189910979,0.9319144427445908,0.902676399026764,0.896605797060264,0.9341825902335457,0.9303048623999922
