class,support,correct,accuracy
dog,772,181,0.2344559585492228
elephant,740,593,0.8013513513513514
giraffe,753,609,0.8087649402390438
guitar,608,586,0.9638157894736842
horse,816,700,0.8578431372549019
house,80,77,0.9625
person,160,58,0.3625
