epoch,train_loss,train_cls_loss,train_mmd,val_mean_acc,val_mean_f1,val_worst_f1,epoch_time_s,val_photo_acc,val_photo_f1,val_art_painting_acc,val_art_painting_f1,val_cartoon_acc,val_cartoon_f1
1,1.0580319610994253,0.6937634953441312,0.3642684654216861,0.7976922288198791,0.8098243888999428,0.7707575764060849,34.79416108131409,0.8753709198813057,0.8730568451677715,0.7639902676399026,0.7856587451259719,0.7537154989384289,0.7707575764060849
2,0.8156207362514231,0.46258983501599205,0.35303090394136327,0.8844833997598013,0.8803852793023966,0.8375533575567236,23.355230808258057,0.9198813056379822,0.9057752259062564,0.8418491484184915,0.8375533575567236,0.89171974522293,0.8978272544442097
3,0.7638561457247284,0.43569374788756393,0.3281623968734077,0.8463736501349078,0.8382126303997063,0.7877626557921104,23.32628321647644,0.8991097922848664,0.8826554711484226,0.7907542579075426,0.7877626557921104,0.8492569002123143,0.844219764258586
4,0.7039572052398131,0.3726599449801504,0.331297259722183,0.7674626637478846,0.7393468433293143,0.6821347440361525,24.26784634590149,0.8011869436201781,0.7508086870056311,0.7177615571776156,0.6821347440361525,0.7834394904458599,0.7850970989461598
5,0.6514330754677454,0.32344753666785525,0.32798553869795444,0.8957466596650967,0.8811606795482935,0.8561629463003414,24.159183740615845,0.8783382789317508,0.8561629463003414,0.8832116788321168,0.8623657064767876,0.9256900212314225,0.9249533858677516
6,0.6500624603596493,0.3225557131794703,0.3275067474859864,0.8728832134416408,0.8732896628881694,0.8393913903898105,23.69261908531189,0.9287833827893175,0.9162585576002131,0.8321167883211679,0.8393913903898105,0.8577494692144374,0.8642190406744849
7,0.5807782186945872,0.2600665911476114,0.320711624637172,0.7012162323052126,0.6984393401258148,0.6147804189666234,24.579121828079224,0.8071216617210683,0.7797515866526314,0.6277372262773723,0.6147804189666234,0.6687898089171974,0.7007860147581899
8,0.5953557882735978,0.26802881020329783,0.3273269786911817,0.8838727934481517,0.8840067558205185,0.817599526833371,25.949210166931152,0.9436201780415431,0.9319715254522862,0.8077858880778589,0.817599526833371,0.9002123142250531,0.9024492151758982
9,0.6168471819429255,0.2803895684997018,0.33645761235436394,0.9101533908845955,0.9092304608631113,0.8749910342281628,23.761210918426514,0.9525222551928784,0.9452228272516352,0.8734793187347932,0.8749910342281628,0.9044585987261147,0.907477521109536
10,0.5772152998998984,0.24687703419476748,0.3303382662101765,0.8828281529517765,0.8784864142726692,0.835271731016418,23.551852226257324,0.9109792284866469,0.8937226501448823,0.8394160583941606,0.835271731016418,0.8980891719745223,0.9064648616567068
11,0.5755709328906453,0.25410994753677085,0.3214609826826931,0.8245013010065471,0.750579953661613,0.725101833216374,26.866912126541138,0.8486646884272997,0.792168887932956,0.7883211678832117,0.725101833216374,0.8365180467091295,0.7344691398355092
12,0.5403643259361609,0.2076260174198345,0.3327383097279724,0.8854678748253075,0.8801661036504674,0.8475058513162097,23.597686767578125,0.9109792284866469,0.8934180789417765,0.851581508515815,0.8475058513162097,0.8938428874734607,0.899574380693416
13,0.5183812087003271,0.19255691082610643,0.3258242975197621,0.9125948810760897,0.9094504910467828,0.8844824909796098,25.73016881942749,0.9376854599406528,0.9258336561792267,0.8807785888077859,0.8844824909796098,0.9193205944798302,0.9180353259815117
14,0.4940892489098791,0.1800401891443869,0.31404906062789223,0.9097199851795299,0.905776067475564,0.8560353086535979,24.77756118774414,0.9406528189910979,0.927587321279738,0.8564476885644768,0.8560353086535979,0.9320594479830149,0.933705572493356
15,0.5384147939693869,0.21947658544959991,0.318938208308386,0.8083911139904677,0.8250164955161788,0.7873214499385802,26.09346628189087,0.8635014836795252,0.8575960762076988,0.7591240875912408,0.7873214499385802,0.802547770700637,0.8301319604022576
16,0.5340208300755391,0.19562609118220642,0.33839473854843066,0.9125864809089265,0.9097131617128088,0.87860531367379,23.707165718078613,0.9525222551928784,0.9441532513066707,0.8807785888077859,0.87860531367379,0.9044585987261147,0.9063809201579656
17,0.5231838207043226,0.21263111724902817,0.31055270417116176,0.8600469915774681,0.8535200269545525,0.803314820086601,25.56293821334839,0.9109792284866469,0.8923400614707893,0.8029197080291971,0.803314820086601,0.8662420382165605,0.8649051993062675
18,0.5181115498738502,0.17768350223065424,0.3404280468080174,0.9182720911328617,0.9123442542404119,0.8925997405266098,23.57661199569702,0.9376854599406528,0.9285358743103556,0.8978102189781022,0.8925997405266098,0.9193205944798302,0.9158971478842701
19,0.4808081528588907,0.1551863829879234,0.32562177061144987,0.8795055036193761,0.8780440059730927,0.8274778422821054,23.68945336341858,0.9347181008902077,0.9268185543603819,0.8248175182481752,0.8274778422821054,0.8789808917197452,0.8798356212767909
20,0.6162790713915184,0.3044589542330878,0.311820117617721,0.6435114679220072,0.5714128560836093,0.4768254801084419,25.064147233963013,0.7537091988130564,0.656327852910503,0.5547445255474452,0.4768254801084419,0.6220806794055201,0.5810852352318826
21,0.5981106827804699,0.2806945857974186,0.31741609754253974,0.7638632534334878,0.7763943632198093,0.7186474807328931,23.17609429359436,0.8338278931750742,0.8296118128040123,0.6934306569343066,0.7186474807328931,0.7643312101910829,0.7809237961225224
22,0.49963026045270226,0.16606970628276374,0.33356055454235173,0.8358386601966372,0.8376060703458205,0.770579401803899,23.31237268447876,0.884272997032641,0.8669070208787263,0.7591240875912408,0.770579401803899,0.8641188959660298,0.8753317883548364
23,0.4764075885661206,0.1577834466539453,0.318624143799146,0.9031308817935987,0.9013551052443812,0.8602655051071083,23.632944107055664,0.9436201780415431,0.9355502951155126,0.8613138686131386,0.8602655051071083,0.9044585987261147,0.9082495155105226
