epoch,train_loss,val_accuracy
1,1.3917819709777832,0.9490000605583191
2,0.43268902635574336,0.9670000672340393
3,0.21934897220134733,0.9720000624656677
4,0.15102877050638197,0.9770000576972961
5,0.11999649339914321,0.9780000448226929
6,0.0998816803097725,0.9780000448226929
7,0.085845807492733,0.9780000448226929
8,0.07495298463106155,0.9780000448226929
9,0.06602466356754302,0.9790000319480896
10,0.05886552464962006,0.9780000448226929
11,0.052814796566963196,0.9800000190734863
12,0.047726450890302655,0.9790000319480896
13,0.04336910150945187,0.9770000576972961
14,0.03955863025784492,0.9780000448226929
15,0.0361558513045311,0.9780000448226929
16,0.03328497835993767,0.9780000448226929
