epoch,train_loss,val_accuracy
1,2.2660063171386717,0.9130000472068787
2,2.175586458206177,0.971000075340271
3,2.0880947151184084,0.9790000319480896
4,2.0030326137542724,0.9790000319480896
5,1.9202585592269896,0.9790000319480896
6,1.8402068395614626,0.9790000319480896
7,1.76260212802887,0.9800000190734863
8,1.6878330678939821,0.9800000190734863
9,1.6156505393981933,0.9810000658035278
10,1.5460479888916017,0.9810000658035278
11,1.4791381855010985,0.9810000658035278
12,1.414886494636536,0.9810000658035278
13,1.3533854370117187,0.9800000190734863
14,1.294494065284729,0.9800000190734863
