epoch,train_loss,val_accuracy
1,1.806318916320801,0.921000063419342
2,1.0101793956756593,0.9540000557899475
3,0.6048943021297455,0.9570000171661377
4,0.4074836506843567,0.9610000252723694
5,0.30230739426612857,0.9630000591278076
6,0.23929853892326353,0.9660000205039978
7,0.19789004576206204,0.968000054359436
8,0.1681910914182663,0.9700000286102295
9,0.14609145456552505,0.9700000286102295
10,0.12859947311878203,0.971000075340271
11,0.11473185014724734,0.971000075340271
12,0.10325066858530044,0.971000075340271
13,0.09372632372379303,0.971000075340271
14,0.0854860978126526,0.971000075340271
15,0.07856947731971739,0.971000075340271
