epoch,train_loss,train_cls_loss,train_mmd,val_mean_acc,val_mean_f1,val_worst_f1,epoch_time_s,val_photo_acc,val_photo_f1,val_art_painting_acc,val_art_painting_f1,val_cartoon_acc,val_cartoon_f1
1,1.0797055495615622,0.7460355941039413,nan,0.891253045424655,0.8922770637204941,0.860881666839492,39.81087875366211,0.9228486646884273,0.917514102105042,0.8613138686131386,0.860881666839492,0.8895966029723992,0.8984354222169483
2,0.5168107475214336,0.258270756892897,nan,0.9194393004917149,0.9153567603103618,0.8906958556126956,35.64591693878174,0.9436201780415431,0.933807559062968,0.8953771289537713,0.8906958556126956,0.9193205944798302,0.9215668662554218
3,0.38623802845750876,0.17155034466651245,nan,0.9383765882926473,0.9359897971852685,0.9130398280283972,36.91376709938049,0.9554896142433235,0.9463980949468979,0.9148418491484185,0.9130398280283972,0.9447983014861996,0.9485314685805106
4,0.3149485491698061,0.12163463428579456,nan,0.9483248694751215,0.9475005012875757,0.9293544763110824,36.905598640441895,0.9792284866468842,0.9751485350840918,0.9294403892944039,0.9293544763110824,0.9363057324840764,0.937998492467553
5,0.2713227626399614,0.09955384971027202,nan,0.9381900984501125,0.9349053570161713,0.9105213732499207,37.07538175582886,0.9673590504451038,0.9609638595132817,0.9172749391727494,0.9105213732499207,0.9299363057324841,0.9332308382853113
6,0.2184183657428815,0.06894432108348875,nan,0.9348271651043811,0.9334233522007134,0.8874968189494336,37.050960063934326,0.9673590504451038,0.9619865055579341,0.8880778588807786,0.8874968189494336,0.9490445859872612,0.9507867320947723
7,0.19620263400436633,0.054827117649560324,nan,0.9527160568597504,0.951933465759636,0.9251497578859202,36.672176361083984,0.973293768545994,0.971431728045908,0.9294403892944039,0.9251497578859202,0.9554140127388535,0.9592189113470797
8,0.19243627828337365,0.05248667995806839,nan,0.9536766343694035,0.9542687383099562,0.9232799422596172,36.9065465927124,0.9792284866468842,0.975749240224588,0.9221411192214112,0.9232799422596172,0.9596602972399151,0.9637770324456633
9,0.1699168478597456,0.04275609838975528,nan,0.9588658069770041,0.9583288841490795,0.937216967484804,37.12915802001953,0.9762611275964391,0.9706771330834273,0.9343065693430657,0.937216967484804,0.9660297239915074,0.9670925518790072
10,0.1448215342483562,0.031642490550203815,nan,0.9490456283437704,0.9488296775683183,0.920469686729381,37.22264552116394,0.9762611275964391,0.9722870963529839,0.9197080291970803,0.920469686729381,0.9511677282377919,0.9537322496225897
11,0.13364030016743722,0.026983747290637326,nan,0.9547644253595099,0.9510692327078272,0.9267694360034803,36.87251091003418,0.9703264094955489,0.9673551741299055,0.9343065693430657,0.9267694360034803,0.9596602972399151,0.9590830879900959
12,0.12356501937246145,0.020675193437604485,nan,0.9498566583518807,0.949281375192473,0.9216358909216052,36.902852296829224,0.9762611275964391,0.9719739391666967,0.9221411192214112,0.9216358909216052,0.9511677282377919,0.9542342954891169
13,0.10124354163620305,0.013166507934170905,nan,0.9324843462195117,0.929264863640132,0.8883608908738896,37.149850606918335,0.9703264094955489,0.9635500125976316,0.8929440389294404,0.8883608908738896,0.9341825902335457,0.9358836874488745
14,0.10492315107437583,0.016488158918276607,nan,0.9398428926545858,0.9403760400509578,0.8952660516175912,36.882919788360596,0.973293768545994,0.9695624483733002,0.8929440389294404,0.8952660516175912,0.9532908704883227,0.9562996201619819
