true_class,predicted_class,count,share_of_true_class
giraffe,horse,283,0.3758300132802125
dog,horse,212,0.27461139896373055
dog,elephant,157,0.2033678756476684
giraffe,dog,79,0.1049136786188579
horse,elephant,68,0.08333333333333333
dog,person,52,0.06735751295336788
giraffe,person,48,0.06374501992031872
giraffe,elephant,46,0.06108897742363878
elephant,dog,36,0.04864864864864865
horse,dog,32,0.0392156862745098
person,elephant,31,0.19375
guitar,elephant,23,0.03782894736842105
