run,method,source_mean_accuracy,source_mean_macro_f1,target_accuracy,target_macro_f1,domain_separability,source_photo_accuracy,source_photo_macro_f1,source_art_painting_accuracy,source_art_painting_macro_f1,source_cartoon_accuracy,source_cartoon_macro_f1,target_accuracy_change,target_macro_f1_change
t2_source_only,source_only,0.9382077878532264,0.9374699639147389,0.6747263934843472,0.657824409615067,0.9986338797814208,0.9762611275964391,0.9705946011730938,0.8978102189781022,0.8969567817206129,0.940552016985138,0.9448585088505103,,
t2_dan,dan,0.9528063279992119,0.951473478663908,0.6879613133112751,0.6224555775913628,0.837431693989071,0.9762611275964391,0.9718624477487221,0.9416058394160584,0.9418974719551947,0.940552016985138,0.9406605162878071,,
t2_dann,dann,0.9357616530437568,0.9356808380905243,0.6319674217358107,0.6431351885818384,1.0,0.9792284866468842,0.9748168498168498,0.9002433090024331,0.8995394625272366,0.9278131634819533,0.9326862019274869,,
t2_cdan,cdan,0.9278995717708213,0.9268284884767451,0.31560193433443623,0.4316114077726457,0.9959016393442623,0.973293768545994,0.9674514991181659,0.878345498783455,0.8763343763399591,0.9320594479830149,0.9366995899721103,-0.3591244591499109,-0.22621300184242132
