condition,backbone,accuracy,macro_f1,mean_max_confidence,prediction_consistency,cosine_stability
translate_down_8,clip_vit_b32_zero_shot,0.938,0.9356836964020687,0.9337841812391037,0.97,0.9770758686850074
translate_left_16,resnet50,0.972,0.9721642412278904,0.8781401874165847,0.99,0.9580517313040321
translate_left_16,vit_b16,0.982,0.9820369792081248,0.9434703425222326,0.998,0.9760356402401316
translate_left_16,clip_vit_b32,0.956,0.9557499461294029,0.20182836717581903,0.958,0.9598695663766141
translate_left_16,clip_vit_b32_zero_shot,0.932,0.9300838725019437,0.927994726462017,0.954,0.9598695663766141
translate_right_16,resnet50,0.978,0.9778849299978543,0.873943847521127,0.992,0.9460347504299272
translate_right_16,vit_b16,0.976,0.975948249144895,0.9440192454489863,0.992,0.9749621944447712
translate_right_16,clip_vit_b32,0.962,0.9618672940858449,0.20226988022099715,0.966,0.9621723913936301
translate_right_16,clip_vit_b32_zero_shot,0.928,0.9268026419047262,0.9253348594211438,0.956,0.9621723913936301
translate_up_16,resnet50,0.98,0.9799781978197821,0.8846730417752176,0.994,0.9539514453530431
translate_up_16,vit_b16,0.98,0.9799765849334033,0.9456840822650029,0.99,0.976844819347961
translate_up_16,clip_vit_b32,0.964,0.9638794549992447,0.20308477114834703,0.966,0.9643191331458052
translate_up_16,clip_vit_b32_zero_shot,0.944,0.9424615561023313,0.9317948445660302,0.96,0.9643191331458052
translate_down_16,resnet50,0.978,0.9780552403379593,0.8806575400160639,0.994,0.9506453774057186
translate_down_16,vit_b16,0.98,0.9799965869336035,0.9471047531969504,0.994,0.9754859622371463
translate_down_16,clip_vit_b32,0.964,0.964018480186277,0.20407024579286634,0.966,0.9663205394106725
translate_down_16,clip_vit_b32_zero_shot,0.94,0.9386186624427033,0.9317913365785516,0.96,0.9663205394106725
translate_left_32,resnet50,0.964,0.9640001752452229,0.8725209128135236,0.97,0.933106264954932
translate_left_32,vit_b16,0.98,0.9800728879960339,0.9373946622163272,0.994,0.9460426370014867
translate_left_32,clip_vit_b32,0.952,0.9518279785392849,0.19767707435025086,0.96,0.9583108772127523
translate_left_32,clip_vit_b32_zero_shot,0.926,0.9245329283392045,0.9122573467007506,0.95,0.9583108772127523
