backbone,predictor,cosine_stability,shape,texture,other,total,shape_bias,coverage
resnet50,head,0.5713324065461307,200,29,36,265,87.33624454148472,86.41509433962264
vit_b16,head,0.5874992355028947,245,5,15,265,98.0,94.33962264150944
clip_vit_b32,head,0.7979890361995745,225,13,27,265,94.53781512605042,89.81132075471699
clip_vit_b32,zero_shot,0.7979890361995745,220,19,26,265,92.05020920502092,90.18867924528301
