class,support,correct,accuracy
dog,772,363,0.47020725388601037
elephant,740,578,0.7810810810810811
giraffe,753,377,0.50066401062417
guitar,608,556,0.9144736842105263
horse,816,693,0.8492647058823529
house,80,56,0.7
person,160,141,0.88125
