true_class,predicted_class,count,share_of_true_class
giraffe,horse,201,0.26693227091633465
dog,horse,198,0.25647668393782386
dog,elephant,130,0.16839378238341968
elephant,dog,87,0.11756756756756757
horse,dog,83,0.1017156862745098
giraffe,person,78,0.10358565737051793
dog,person,77,0.09974093264248704
elephant,horse,61,0.08243243243243244
giraffe,dog,54,0.07171314741035857
giraffe,elephant,39,0.05179282868525897
guitar,giraffe,22,0.03618421052631579
guitar,elephant,21,0.03453947368421053
